cache_size,swim.trace,gzip.trace,gcc.trace,twolf.trace,mcf.trace
128,92.58755973917604,66.70554044952229,93.68681922809168,98.72065183172336,1.031998129890131
256,92.59382637461947,66.70554044952229,93.7599261561851,98.74612695309264,1.031998129890131
512,92.59382637461947,66.70554044952229,93.82585813377598,98.74633406790052,1.031998129890131
1024,92.62054203098357,66.70554044952229,93.83051215572358,98.74633406790052,1.031998129890131
2048,92.62054203098357,66.70554044952229,93.83070607330473,98.74633406790052,1.031998129890131
4096,92.62054203098357,66.70554044952229,93.83089999088587,98.75979653041273,1.0450613973570948
