block_size,swim.trace,gzip.trace,gcc.trace,twolf.trace,mcf.trace
2,92.59151761419294,66.7040852811801,93.61991766259504,98.64609050088646,1.0282854117679414
4,92.62054203098357,66.70554044952229,93.83051215572358,98.74633406790052,1.031998129890131
8,93.4622501179117,66.70720349905622,95.92074976293576,98.84450648683578,1.0379109772699147
16,96.22913457764525,66.7851589459592,97.81765154174172,99.37202790250691,50.50204199496721
32,97.88715438680973,66.82424061000657,98.81884801321742,99.64376253044588,75.23672015730925
64,98.83539527627617,66.8450287291807,99.33680187246816,99.76637449671102,87.60653438389505
128,99.34530150762055,66.85542278876775,99.61138916737609,99.84362832005037,93.79316034817046
